Display Name,ReferenceId,Latitude,Longitude,Media Owner,Country,State,District,Billboard Type,Category,Venue Type,Impression,Frequency,Reach_x,Venue type,18_24_percentage,25_34_percentage,35_44_percentage,45_54_percentage,55_64_percentage,65_plus_percentage,Unnamed: 8,PV,Freq,Reach_y,Unnamed: 12
PDAntCarlos(b)-56,BRA-OOH-D-00000-15804,-19.88918,-43.9497,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1236000,5.54,223104,"Outdoor,Billboards",13.13,16.44,31.38,22.46,9.37,7.22,,1236000,5.54,223104,
PDMG10(c)-42,BRA-OOH-D-00000-15806,-19.81234,-43.95061,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1128600,5.97,189045,"Outdoor,Billboards",15.36,17.4,27.45,21.21,10.15,8.43,,1128600,5.97,189045,
BDPraçaLiberdade-47,BRA-OOH-D-00000-15815,-19.93088,-43.93858,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1363800,6.29,216820,"Outdoor,Urban Panels",15.18,16.23,31.78,20.27,9.27,7.27,,1363800,6.29,216820,
BDSantosDumont-51,BRA-OOH-D-00000-15819,-19.91513,-43.94031,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1110000,5.47,202925,"Outdoor,Urban Panels",15.39,17.12,26.74,22.12,10.22,8.41,,1110000,5.47,202925,
BDPracaSete-49,BRA-OOH-D-00000-15822,-19.91961,-43.93935,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",847800,5.36,158171,"Outdoor,Urban Panels",15.4,16.39,31.28,19.39,10.13,7.41,,847800,5.36,158171,
BDBarbacena-64,BRA-OOH-D-00000-15824,-19.92677,-43.95159,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1255200,6.16,203766,"Outdoor,Urban Panels",13.24,17.44,31.29,20.52,9.16,8.35,,1255200,6.16,203766,
BDArmandoLombardi-10,BRA-OOH-D-00000-15826,-23.00738,-43.30648,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1432200,6.39,224131,"Outdoor,Urban Panels",14.8,16.23,29.87,22.58,9.15,7.37,,1432200,6.39,224131,
BDPrudenteMorais-2,BRA-OOH-D-00000-15828,-22.98489,-43.21203,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",2115000,8.48,249410,"Outdoor,Urban Panels",15.54,16.28,29.54,21.2,10.19,7.25,,2115000,8.48,249410,
BDFigueiredo-5,BRA-OOH-D-00000-15835,-22.97037,-43.18589,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1420200,5.76,246562,"Outdoor,Urban Panels",15.51,16.39,30.28,19.22,10.46,8.14,,1420200,5.76,246562,
BDViscondeII-14,BRA-OOH-D-00000-15836,-22.98423,-43.20615,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1128600,5.43,207845,"Outdoor,Urban Panels",14.29,16.4,29.62,22.17,10.17,7.35,,1128600,5.43,207845,
BDPassagem-13,BRA-OOH-D-00000-15837,-22.95318,-43.18175,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",661800,7.45,88832,"Outdoor,Urban Panels",16.26,17.13,28.32,20.47,10.4,7.42,,661800,7.45,88832,
PDIpiranga-6,BRA-OOH-D-00000-15849,-30.04851,-51.22456,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Billboards",1590600,6.85,232204,"Outdoor,Billboards",14.35,17.12,29.38,20.65,10.13,8.37,,1590600,6.85,232204,
PDQuintino-2,BRA-OOH-D-00000-15850,-30.01952,-51.19804,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Billboards",1389600,7.12,195168,"Outdoor,Billboards",14.46,16.29,29.85,20.63,10.45,8.32,,1389600,7.12,195168,
PDJoaoWallig-4,BRA-OOH-D-00000-15851,-30.01514,-51.16484,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Billboards",1316400,6.55,200977,"Outdoor,Billboards",15.57,17.24,27.08,21.54,10.24,8.33,,1316400,6.55,200977,
PDSertorio-8,BRA-OOH-D-00000-15852,-29.99847,-51.13651,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Billboards",717600,8.7,82482,"Outdoor,Billboards",13.26,16.22,34.26,19.58,9.26,7.42,,717600,8.7,82482,
BDOtavioRocha-13,BRA-OOH-D-00000-15860,-30.02872,-51.22594,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",525000,6.29,83465,"Outdoor,Urban Panels",15.11,16.4,30.59,20.29,10.25,7.36,,525000,6.29,83465,
PDDesembMoreira-4,BRA-OOH-D-00000-15870,-3.75205,-38.5032,OOH BRASIL,Brazil,Ceara,Fortaleza,DIGITAL,OUTDOOR,"Outdoor,Billboards",1167000,6.43,181493,"Outdoor,Billboards",14.29,16.29,29.22,21.58,10.45,8.17,,1167000,6.43,181493,
PDOliveriaPaiva-6,BRA-OOH-D-00000-15872,-3.79807,-38.50177,OOH BRASIL,Brazil,Ceara,Fortaleza,DIGITAL,OUTDOOR,"Outdoor,Billboards",1839000,8.4,218928,"Outdoor,Billboards",14.12,17.33,30.47,20.57,9.16,8.35,,1839000,8.4,218928,
PDSilasMunguba-7,BRA-OOH-D-00000-15874,-3.77818,-38.56096,OOH BRASIL,Brazil,Ceara,Fortaleza,DIGITAL,OUTDOOR,"Outdoor,Billboards",1171200,5.49,213333,"Outdoor,Billboards",15.45,16.22,28.31,22.47,9.26,8.29,,1171200,5.49,213333,
PDBabitaCarm-74,BRA-OOH-D-00000-25857,-19.94755,-44.0256,OOH BRASIL,Brazil,Minas Gerais,Contagem,DIGITAL,OUTDOOR,"Outdoor,Billboards",126600,5.25,24114,"Outdoor,Billboards",14.8,17.29,30.24,20.24,10.18,7.25,,126600,5.25,24114,
PDJuscelino-63,BRA-OOH-D-00000-25858,-19.96898,-44.19953,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1193400,6.47,184451,"Outdoor,Billboards",13.5,17.18,30.05,20.68,10.37,8.22,,1193400,6.47,184451,
